date,repo_rate
2023-03-10,6.5
2023-03-11,6.5
2023-04-01,6.25
2023-04-04,6.5
2023-04-05,6.5
2023-04-07,6.5
2023-04-08,6.5
2023-04-09,6.5
2023-04-10,6.5
2023-04-12,6.5
2023-05-01,6.25
2023-05-04,6.5
2023-05-05,6.5
2023-05-06,6.5
2023-05-07,6.5
2023-05-09,6.5
2023-05-10,6.5
2023-05-12,6.5
2023-06-01,6.25
2023-06-02,6.25
2023-06-03,6.5
2023-06-04,6.5
2023-06-06,6.5
2023-06-07,6.5
2023-06-09,6.5
2023-06-10,6.5
2023-06-11,6.5
2023-06-12,6.5
2023-07-02,6.25
2023-07-03,6.5
2023-07-04,6.5
2023-07-06,6.5
2023-07-07,6.5
2023-07-08,6.5
2023-07-09,6.5
2023-07-11,6.5
2023-07-12,6.5
2023-08-02,6.5
2023-08-03,6.5
2023-08-05,6.5
2023-08-06,6.5
2023-08-08,6.5
2023-08-09,6.5
2023-08-11,6.5
2023-08-12,6.5
2023-09-01,6.25
2023-09-02,6.5
2023-09-03,6.5
2023-09-05,6.5
2023-09-06,6.5
2023-09-08,6.5
2023-09-10,6.5
2023-09-11,6.5
2023-10-01,6.25
2023-10-02,6.5
2023-10-03,6.5
2023-10-04,6.5
2023-10-05,6.5
2023-10-07,6.5
2023-10-08,6.5
2023-10-10,6.5
2023-10-11,6.5
2023-11-01,6.25
2023-11-04,6.5
2023-11-05,6.5
2023-11-07,6.5
2023-11-08,6.5
2023-11-09,6.5
2023-11-10,6.5
2023-11-12,6.5
2023-12-01,6.25
2023-12-04,6.5
2023-12-05,6.5
2023-12-06,6.5
2023-12-07,6.5
2023-12-09,6.5
2023-12-10,6.5
2023-12-12,6.5
2024-01-01,6.5
2024-01-02,6.5
2024-01-03,6.5
2024-01-04,6.5
2024-01-05,6.5
2024-01-07,6.5
2024-01-08,6.5
2024-01-10,6.5
2024-01-11,6.5
2024-02-01,6.5
2024-02-02,6.5
2024-02-04,6.5
2024-02-05,6.5
2024-02-07,6.5
2024-02-08,6.5
2024-02-09,6.5
2024-02-10,6.5
2024-02-12,6.5
2024-03-01,6.5
2024-03-04,6.5
2024-03-05,6.5
2024-03-06,6.5
2024-03-07,6.5
2024-03-09,6.5
2024-03-10,6.5
2024-03-12,6.5
2024-04-01,6.5
2024-04-03,6.5
2024-04-04,6.5
2024-04-06,6.5
2024-04-07,6.5
2024-04-09,6.5
2024-04-10,6.5
2024-04-11,6.5
2024-04-12,6.5
2024-05-01,6.5
2024-05-02,6.5
2024-05-03,6.5
2024-05-04,6.5
2024-05-06,6.5
2024-05-07,6.5
2024-05-08,6.5
2024-05-09,6.5
2024-05-11,6.5
2024-05-12,6.5
2024-06-02,6.5
2024-06-03,6.5
2024-06-05,6.5
2024-06-06,6.5
2024-06-08,6.5
2024-06-09,6.5
2024-06-11,6.5
2024-06-12,6.5
2024-07-02,6.5
2024-07-03,6.5
2024-07-05,6.5
2024-07-06,6.5
2024-07-08,6.5
2024-07-10,6.5
2024-07-11,6.5
2024-08-01,6.5
2024-08-02,6.5
2024-08-03,6.5
2024-08-04,6.5
2024-08-05,6.5
2024-08-07,6.5
2024-08-08,6.5
2024-08-10,6.5
2024-08-11,6.5
2024-09-01,6.5
2024-09-02,6.5
2024-09-04,6.5
2024-09-05,6.5
2024-09-07,6.5
2024-09-08,6.5
2024-09-09,6.5
2024-09-10,6.5
2024-09-12,6.5
2024-10-01,6.5
2024-10-04,6.5
2024-10-05,6.5
2024-10-06,6.5
2024-10-07,6.5
2024-10-09,6.5
2024-10-10,6.5
2024-10-12,6.5
2024-11-01,6.5
2024-11-03,6.5
2024-11-04,6.5
2024-11-06,6.5
2024-11-07,6.5
2024-11-09,6.5
2024-11-10,6.5
2024-11-11,6.5
2024-11-12,6.5
2024-12-01,6.5
2024-12-02,6.5
2024-12-03,6.5
2024-12-04,6.5
2024-12-06,6.5
2024-12-07,6.5
2024-12-08,6.5
2024-12-09,6.5
2024-12-11,6.5
2024-12-12,6.5
2025-01-01,6.5
2025-01-04,6.25
2025-01-05,6.0
2025-01-07,5.5
2025-01-08,5.5
2025-01-09,5.5
2025-01-10,5.5
2025-01-12,5.5
2025-02-01,6.5
2025-02-04,6.25
2025-02-05,6.0
2025-02-06,6.0
2025-02-07,5.5
2025-02-09,5.5
2025-02-10,5.5
2025-02-12,5.5
2025-03-01,6.5
2025-03-02,6.5
2025-03-03,6.25
2025-03-04,6.25
2025-03-06,6.0
2025-03-07,5.5
2025-03-09,5.5
2025-03-10,5.5
2025-03-11,5.5
2025-03-12,5.5
2025-04-02,6.5
2025-04-03,6.25
2025-04-04,6.25
2025-04-06,6.0
2025-04-07,5.5
2025-04-08,5.5
2025-04-09,5.5
2025-04-11,5.5
2025-04-12,5.5
2025-05-02,6.5
2025-05-03,6.25
2025-05-05,6.0
2025-05-06,6.0
2025-05-08,5.5
2025-05-09,5.5
2025-05-11,5.5
2025-05-12,5.25
2025-06-01,6.5
2025-06-02,6.5
2025-06-03,6.25
2025-06-05,6.0
2025-06-06,5.5
2025-06-08,5.5
2025-06-10,5.5
2025-06-11,5.5
2025-07-01,6.5
2025-07-02,6.25
2025-07-03,6.25
2025-07-04,6.25
2025-07-05,6.0
2025-07-07,5.5
2025-07-08,5.5
2025-07-10,5.5
2025-07-11,5.5
2025-08-01,6.5
2025-08-04,6.25
2025-08-05,6.0
2025-08-07,5.5
2025-08-08,5.5
2025-08-09,5.5
2025-08-10,5.5
2025-08-12,5.25
2025-09-01,6.5
2025-09-04,6.0
2025-09-05,6.0
2025-09-06,5.5
2025-09-07,5.5
2025-09-09,5.5
2025-09-10,5.5
2025-09-12,5.25
2025-10-01,6.5
2025-10-02,6.25
2025-10-03,6.25
2025-10-04,6.0
2025-10-06,5.5
2025-10-07,5.5
2025-10-09,5.5
2025-10-10,5.5
2025-10-11,5.5
2025-10-12,5.25
2025-11-02,6.25
2025-11-03,6.25
2025-11-04,6.0
2025-11-06,5.5
2025-11-07,5.5
2025-11-08,5.5
2025-11-09,5.5
2025-11-11,5.5
2025-11-12,5.25
2025-12-02,6.25
2025-12-03,6.25
2025-12-05,6.0
2025-12-06,5.5
2025-12-08,5.5
2025-12-09,5.5
2025-12-11,5.5
2025-12-12,5.25
2026-01-01,5.25
2026-02-01,5.25
2026-02-02,5.25
2026-02-03,5.25
2026-03-02,5.25
2026-03-03,5.25
2026-04-02,5.25
2026-04-03,5.25
2026-05-01,5.25
2026-05-02,5.25
2026-05-03,5.25
2026-06-01,5.25
2026-06-02,5.25
2026-06-03,5.25
2026-07-01,5.25
2026-08-01,5.25
2026-09-01,5.25
2026-09-02,5.25
2026-09-03,5.25
2026-10-02,5.25
2026-10-03,5.25
2026-11-02,5.25
2026-11-03,5.25
2026-12-01,5.25
2026-12-02,5.25
2026-12-03,5.25
