date,risk_free_rate
2018-11-20,6.8121
2018-11-21,6.8121
2018-11-22,6.8121
2018-11-23,6.8121
2018-11-26,6.8121
2018-11-27,6.8121
2018-11-28,6.7706
2018-11-29,6.7706
2018-11-30,6.7706
2018-12-03,6.7706
2018-12-04,6.7706
2018-12-05,6.7292
2018-12-06,6.7292
2018-12-07,6.7292
2018-12-10,6.7292
2018-12-11,6.7292
2018-12-12,6.6877
2018-12-13,6.6877
2018-12-14,6.6877
2018-12-17,6.6877
2018-12-18,6.6877
2018-12-19,6.6048
2018-12-20,6.6048
2018-12-21,6.6048
2018-12-24,6.6048
2018-12-25,6.6048
2018-12-26,6.6462
2018-12-27,6.6462
2018-12-28,6.6462
2018-12-31,6.6462
2019-01-01,6.6462
2019-01-02,6.6462
2019-01-03,6.6462
2019-01-04,6.6462
2019-01-07,6.6462
2019-01-08,6.6462
2019-01-09,6.6462
2019-01-10,6.6462
2019-01-11,6.6462
2019-01-14,6.6462
2019-01-15,6.6462
2019-01-16,6.6462
2019-01-17,6.6462
2019-01-18,6.6462
2019-01-21,6.6462
2019-01-22,6.6462
2019-01-23,6.6048
2019-01-24,6.6048
2019-01-25,6.6048
2019-01-28,6.6048
2019-01-29,6.6048
2019-01-30,6.5634
2019-01-31,6.5634
2019-02-01,6.5634
2019-02-04,6.5634
2019-02-05,6.5634
2019-02-06,6.5634
2019-02-07,6.5634
2019-02-08,6.5634
2019-02-11,6.5634
2019-02-12,6.5634
2019-02-13,6.3977
2019-02-14,6.3977
2019-02-15,6.3977
2019-02-18,6.3977
2019-02-19,6.3977
2019-02-20,6.3977
2019-02-21,6.3977
2019-02-22,6.3977
2019-02-25,6.3977
2019-02-26,6.3977
2019-02-27,6.3977
2019-02-28,6.3977
2019-03-01,6.3977
2019-03-04,6.3977
2019-03-05,6.3977
2019-03-06,6.3977
2019-03-07,6.3977
2019-03-08,6.3977
2019-03-11,6.3977
2019-03-12,6.3977
2019-03-13,6.3563
2019-03-14,6.3563
2019-03-15,6.3563
2019-03-18,6.3563
2019-03-19,6.3563
2019-03-20,6.3149
2019-03-21,6.3149
2019-03-22,6.3149
2019-03-25,6.3149
2019-03-26,6.3149
2019-03-27,6.3149
2019-03-28,6.3149
2019-03-29,6.3149
2019-04-01,6.3149
2019-04-02,6.3149
2019-04-03,6.2322
2019-04-04,6.2322
2019-04-05,6.2322
2019-04-08,6.2322
2019-04-09,6.2322
2019-04-10,6.2735
2019-04-11,6.2735
2019-04-12,6.2735
2019-04-15,6.2735
2019-04-16,6.3149
2019-04-17,6.3149
2019-04-18,6.3149
2019-04-19,6.3149
2019-04-22,6.3149
2019-04-23,6.3149
2019-04-24,6.3977
2019-04-25,6.3977
2019-04-26,6.3977
2019-04-29,6.3977
2019-04-30,6.4391
2019-05-01,6.4391
2019-05-02,6.4391
2019-05-03,6.4391
2019-05-06,6.4391
2019-05-07,6.4391
2019-05-08,6.4805
2019-05-09,6.4805
2019-05-10,6.4805
2019-05-13,6.4805
2019-05-14,6.4805
2019-05-15,6.3977
2019-05-16,6.3977
2019-05-17,6.3977
2019-05-20,6.3977
2019-05-21,6.3977
2019-05-22,6.3563
2019-05-23,6.3563
2019-05-24,6.3563
2019-05-27,6.3563
2019-05-28,6.3563
2019-05-29,6.1908
2019-05-30,6.1908
2019-05-31,6.1908
2019-06-03,6.1908
2019-06-04,6.0668
2019-06-05,6.0668
2019-06-06,6.0668
2019-06-07,6.0668
2019-06-10,6.0668
2019-06-11,6.0668
2019-06-12,5.9428
2019-06-13,5.9428
2019-06-14,5.9428
2019-06-17,5.9428
2019-06-18,5.9428
